loss: 1.1165:   0%|          | 0/30000 [00:03<?, ?it/s]
loss: 0.0577:  17%|█▋        | 5200/30000 [5:27:11<4:02:26,  1.70it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0577:  17%|█▋        | 5200/30000 [5:27:11<4:02:26,  1.70it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0298:  18%|█▊        | 5300/30000 [5:28:14<5:10:28,  1.33it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0430:  18%|█▊        | 5300/30000 [5:28:14<5:10:28,  1.33it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0430:  18%|█▊        | 5300/30000 [5:28:14<5:10:28,  1.33it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0382:  18%|█▊        | 5400/30000 [5:29:18<4:33:50,  1.50it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0373:  18%|█▊        | 5400/30000 [5:29:18<4:33:50,  1.50it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0373:  18%|█▊        | 5400/30000 [5:29:18<4:33:50,  1.50it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0357:  18%|█▊        | 5500/30000 [5:30:21<4:07:15,  1.65it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0370:  18%|█▊        | 5500/30000 [5:30:22<4:07:15,  1.65it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0370:  18%|█▊        | 5500/30000 [5:30:22<4:07:15,  1.65it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0364:  19%|█▊        | 5600/30000 [5:31:24<3:06:15,  2.18it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0405:  19%|█▊        | 5600/30000 [5:31:26<3:06:15,  2.18it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0405:  19%|█▊        | 5600/30000 [5:31:26<3:06:15,  2.18it/s, GPU:  65% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0398:  19%|█▉        | 5700/30000 [5:32:28<4:48:19,  1.40it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0403:  19%|█▉        | 5700/30000 [5:32:29<4:48:19,  1.40it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0403:  19%|█▉        | 5700/30000 [5:32:29<4:48:19,  1.40it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0349:  19%|█▉        | 5800/30000 [5:33:31<4:13:15,  1.59it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0381:  19%|█▉        | 5800/30000 [5:33:32<4:13:15,  1.59it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0381:  19%|█▉        | 5800/30000 [5:33:32<4:13:15,  1.59it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0398:  20%|█▉        | 5900/30000 [5:34:35<3:57:08,  1.69it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0183:  20%|█▉        | 5900/30000 [5:34:35<3:57:08,  1.69it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0183:  20%|█▉        | 5900/30000 [5:34:35<3:57:08,  1.69it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0312:  20%|██        | 6000/30000 [7:51:17<16281:43:48, 2442.26s/it, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0336:  20%|██        | 6000/30000 [7:51:17<16281:43:48, 2442.26s/it, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0336:  20%|██        | 6000/30000 [7:51:17<16281:43:48, 2442.26s/it, GPU:  74% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0360:  20%|██        | 6100/30000 [7:52:19<4:23:22,  1.51it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
